Valor;Porcentagem
R$ 4,00 / US$;0
R$ 4,50 / US$;6
R$ 5,00 / US$;7
R$ 6,00 / US$;13
R$ 8,00 / US$;30
R$ 10,00 / US$;32
R$ 15,00 / US$;37
